Question ID,Type,Title,Resolution,default (BT7) Forecast,default (BT8) Forecast,gemini-2 (BT10) Forecast,gemini-3-flash-preview (BT10) Forecast,gemini-3-thinking (BT11) Forecast,glm-4 (BT9) Forecast,grok-4 (BT9) Forecast,grok-code-fast-1 (BT9) Forecast,mimo-v2-flash (BT9) Forecast,minimax-m2 (BT9) Forecast,default (BT7) Peer Score,default (BT8) Peer Score,gemini-2 (BT10) Peer Score,gemini-3-flash-preview (BT10) Peer Score,gemini-3-thinking (BT11) Peer Score,glm-4 (BT9) Peer Score,grok-4 (BT9) Peer Score,grok-code-fast-1 (BT9) Peer Score,mimo-v2-flash (BT9) Peer Score,minimax-m2 (BT9) Peer Score
38965,binary,Will Boris Johnson return as the leader of the UK Conservative Party before 2026?,0,1.0%,1.0%,1.0%,4.0%,2.0%,1.0%,1.0%,1.0%,5.0%,1.0%,4.12,4.12,4.12,1.05,3.11,4.12,4.12,4.12,0.00,4.12
38969,multiple_choice,How many Major Atlantic Hurricanes will occur during September 2025?,2,35.0%,30.0%,30.0%,28.0%,30.0%,40.0%,30.0%,35.0%,32.0%,35.0%,16.58,1.16,1.16,-5.73,1.16,29.93,1.16,16.58,7.62,16.58
38971,multiple_choice,"Will TikTok still be available in the United States on December 31, 2025?","Yes, still owned by foreign adversary",27.0%,22.0%,55.0%,22.0%,35.0%,15.0%,10.0%,10.0%,5.0%,5.0%,-33.45,-53.93,37.70,-53.93,-7.50,-92.23,-132.77,-132.77,-202.09,-202.09
38980,binary,Will Bud Light cease production by 2026?,0,1.0%,1.0%,10.0%,3.0%,2.0%,1.0%,2.0%,1.0%,5.0%,2.0%,4.12,4.12,-5.41,2.08,3.11,4.12,3.11,4.12,0.00,3.11
38990,binary,"Will the Nonlinear Fund have more than eight full-time equivalent employees on January 1, 2026?",0,18.0%,12.0%,58.0%,12.0%,8.0%,15.0%,4.0%,3.0%,45.0%,75.0%,8.92,15.98,-57.98,15.98,20.43,12.52,24.69,25.72,-31.02,-109.86
39001,binary,"Will Russia test a nuclear device before January 1, 2026?",0,2.0%,2.0%,3.0%,1.0%,4.0%,1.0%,1.0%,5.0%,28.0%,1.0%,14.23,14.23,13.21,15.25,12.17,15.25,15.25,11.12,-16.60,15.25
39010,numeric,What will be the ending value of the UST 10Y Yield for the following biweekly periods? (Sep 15 - Sep 26),4.2,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,0.19,-37.91,-52.30,-52.30,-41.14,-63.45,-72.57,-52.30,-52.30,42.56
39011,numeric,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spread for the following biweekly periods? (Sep 15 - Sep 26),2.75,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-38.72,-37.52,14.97,-39.96,-39.96,-5.30,-30.84,-39.96,-54.34,-215.29
39098,multiple_choice,How many people will be added to the Viasna Belarusian political prisoners tracker in September 2025?,0-12,43.0%,50.0%,25.0%,35.0%,56.0%,N/A,98.0%,55.0%,28.0%,30.0%,3.15,18.23,-51.09,-17.44,29.56,N/A,85.54,27.76,-39.75,-32.85
39102,binary,Which states will Pope Leo XIV visit in 2025? (Turkiye),1,96.0%,95.0%,1.0%,96.0%,91.0%,N/A,85.0%,75.0%,92.0%,1.0%,20.28,19.24,-436.15,20.28,14.94,N/A,8.11,-4.40,16.03,-436.15
39103,binary,Will the United States attack Venezuela before 2026?,1,65.0%,72.0%,1.0%,12.0%,91.0%,1.0%,3.0%,15.0%,1.0%,5.0%,127.30,137.52,-290.14,-41.65,160.94,-290.14,-180.28,-19.34,-290.14,-129.20
39105,multiple_choice,"Which grouping will the Prime Minister of France belong to on December 31, 2025?",Together for the Republic,18.0%,10.0%,90.0%,18.0%,25.0%,25.0%,12.0%,3.0%,2.0%,25.0%,32.60,-26.18,193.55,32.60,65.45,65.45,-7.94,-146.57,-187.12,65.45
39106,multiple_choice,Who will win Big Brother 27 (US)?,Ashley Hollis,6.0%,5.0%,3.0%,5.0%,4.0%,7.0%,8.0%,5.0%,30.6%,8.0%,-36.24,-54.47,-105.55,-54.47,-76.79,-20.82,-7.47,-54.47,126.73,-7.47
39175,multiple_choice,What will be the result of the game between IM Levy Rozman Vs The World?,Rozman victory,22.0%,25.0%,75.0%,58.0%,12.0%,57.0%,55.0%,70.0%,70.0%,50.0%,7.76,20.54,130.40,104.70,-52.86,102.96,99.39,123.50,123.50,89.85
39176,numeric,What will the winning time be in the Women's 100 meter final at the 2025 World Athletics Championships?,10.61,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-11.21,-11.21,-181.27,3.17,23.44,-11.21,3.17,37.83,-183.31,-22.37
39503,numeric,How much will Nvidia's stock price returns exceed Microsoft's in the following biweekly periods of Q3 2025? (Sep 29 - Oct 10),2.887,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-4.46,-4.46,-4.46,0.39,-9.23,35.46,6.69,30.19,21.08,17.07
39504,binary,Will Alassane Ouattara win 80% or more of the first round vote in the 2025 presidential election of Ivory Coast (Côte d'Ivoire)?,1,72.0%,78.0%,70.0%,88.0%,68.0%,86.0%,82.0%,80.0%,95.0%,40.0%,2.82,10.82,0.00,22.88,-2.90,20.59,15.82,13.35,30.54,-55.96
39513,binary,Who will be the next non-caretaker prime minister of Nepal? (Balendra Shah),0,18.0%,12.0%,3.0%,12.0%,8.0%,1.0%,1.0%,30.0%,75.0%,15.0%,-14.72,-7.65,2.08,-7.65,-3.21,4.12,4.12,-30.54,-133.50,-11.12
39514,numeric,"What will be the maximum intraday value of the VIX over the following biweekly periods in Q3, 2025? (Sep 29 - Oct 10)",22.44,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,9.44,26.26,-238.65,23.04,7.11,0.72,0.72,11.88,11.88,11.88
39538,multiple_choice,Who will win the UK Labour Party's Deputy Leadership election in 2025?,Lucy Powell,59.0%,68.0%,67.0%,64.0%,65.0%,64.0%,62.0%,55.0%,45.0%,6.7%,32.91,47.10,45.62,41.04,42.59,41.04,37.87,25.89,5.82,-185.14
39562,multiple_choice,How will the Supreme Court rule on Trump's tariffs in 2025?,No 2025 ruling,35.0%,23.0%,96.0%,45.0%,44.0%,1.0%,96.0%,93.0%,40.0%,55.0%,186.42,144.44,287.32,211.56,209.31,-169.11,287.32,284.15,199.78,231.62
39566,binary,Will there be a stronger hurricane than Erin during the 2025 Atlantic hurricane season?,1,28.0%,45.0%,1.0%,12.0%,28.0%,3.0%,1.0%,12.0%,65.0%,35.0%,11.33,58.78,-321.89,-73.40,11.33,-212.03,-321.89,-73.40,95.55,33.65
39590,numeric,What will be the ending value of the UST 10Y Yield for these biweekly periods of Q4 2025? (Oct 13 - Oct 24),4.02,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-8.33,7.59,-38.22,-201.13,-32.95,-23.84,-23.84,-3.57,-38.22,14.27
39595,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Oct 13 - Oct 24),0.0702,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,27.35,-11.31,1.80,1.80,-7.31,12.96,-44.01,36.46,110.26,36.46
39751,multiple_choice,Which team will win the 2025 League of Legends World Championship?,T1,28.0%,32.0%,1.0%,17.0%,9.0%,21.0%,18.0%,5.2%,20.0%,22.0%,20.92,34.28,-312.68,-28.97,-92.57,-7.84,-23.26,-147.39,-12.72,-3.19
39787,binary,Will the following companies be added to the S&P 500 before 2026? (ARES),1,1.0%,8.0%,3.0%,18.0%,8.0%,1.0%,1.0%,1.0%,5.0%,3.0%,-321.89,-113.94,-212.03,-32.85,-113.94,-321.89,-321.89,-321.89,-160.94,-212.03
39789,numeric,What will the first reported earnings per share after September 2025 be for the following companies? (MSFT),3.72,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,13.67,13.67,-28.69,-20.98,-11.87,48.33,-0.71,-16.63,-11.87,56.04
39834,multiple_choice,Which of the 2025 Virginia and New Jersey gubernatorial elections will the Democrats win?,Both elections,82.0%,70.0%,70.0%,72.0%,97.0%,58.0%,60.0%,60.0%,72.0%,97.1%,30.40,14.58,14.58,17.39,47.20,-4.23,-0.84,-0.84,17.39,47.26
39837,binary,"Will Ukraine extend martial law beyond November 5, 2025?",1,98.0%,98.0%,99.0%,99.0%,98.0%,97.0%,1.0%,90.0%,98.0%,93.0%,8.52,8.52,9.53,9.53,8.52,7.49,-449.98,0.00,8.52,3.28
39911,numeric,What will be the ending value of the ICE BofA US High Yield Option-Adjusted Spread for these biweekly periods of Q4 2025? (Oct 27 - Nov 7),3.15,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,59.31,52.63,30.32,78.18,43.52,27.09,21.20,-59.27,-4.34,41.48
39916,numeric,How much will Crude Oil Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Oct 27 - Nov 7),-1.773,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-3.69,-8.96,-8.96,2.20,2.20,25.70,-63.89,25.70,5.42,-8.96
40083,binary,"Will the US national debt be under $38.5 trillion on December 31, 2025?",0,12.0%,3.0%,97.0%,6.0%,24.0%,75.0%,4.0%,1.0%,98.0%,85.0%,3.32,13.06,-334.55,9.92,-11.34,-122.52,12.02,15.10,-375.10,-173.61
40085,multiple_choice,Which country will host the 31st Conference of the Parties (COP 31) in 2026?,Turkey,12.0%,25.0%,19.0%,12.0%,17.0%,14.0%,25.0%,20.0%,25.0%,10.0%,-35.55,37.85,10.41,-35.55,-0.72,-20.13,37.85,15.54,37.85,-53.78
40089,numeric,What will be the ending value of the UST 10Y Yield for these biweekly periods of Q4 2025? (Nov 10 - Nov 21),4.06,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-13.53,-24.69,6.74,-225.96,12.01,32.28,-2.38,-136.94,21.12,-13.53
40094,numeric,How much will Nasdaq-100 Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Nov 10 - Nov 21),-1.444,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-175.80,12.00,6.73,17.89,17.89,12.00,17.89,13.12,17.89,6.73
40164,numeric,What will be NVIDIA's forward guidance in their Q3 FY2026 earnings release? (GAAP Operating Expenses),6700000000.0,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-210.43,-210.43,-227.25,-227.25,-227.25,-210.43,-210.43,-210.43,-210.43,-210.43
40168,binary,"Will the US government shutdown end before November 21, 2025?",1,88.0%,82.0%,68.0%,88.0%,92.0%,93.0%,1.0%,70.0%,65.0%,87.0%,30.29,23.23,4.51,30.29,34.74,35.82,-417.44,7.41,0.00,29.15
40218,numeric,What will be the maximum intraday value of the VIX over these biweekly periods in Q4 2025? (Nov 24 - Dec 5),23.68,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-10.71,-65.02,-30.36,-0.47,-41.52,4.29,-15.98,-15.98,-6.86,-15.98
40221,numeric,How much will Gold Futures total price returns exceed S&P 500 Futures's in these biweekly periods of Q4 2025? (Nov 24 - Dec 5),-0.5562,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,212.96,-16.58,-5.04,14.86,-19.80,-7.46,-30.96,3.70,-30.96,-42.12
40300,binary,Will the United States conduct a military attack within Nigeria before 2026?,1,5.0%,3.0%,1.0%,1.0%,2.0%,1.0%,3.0%,6.0%,2.0%,1.0%,-87.55,-138.63,-248.49,-248.49,-179.18,-248.49,-138.63,-69.31,-179.18,-248.49
40414,binary,Will Iran announce an evacuation of Tehran before 2026?,0,1.0%,3.0%,1.0%,4.0%,4.0%,1.0%,1.0%,1.0%,3.0%,2.0%,9.53,7.49,9.53,6.45,6.45,9.53,9.53,9.53,7.49,8.52
40416,multiple_choice,Will President Donald J. Trump take legal action against the BBC before 2026?,Trump files a lawsuit in the USA only,45.0%,42.0%,25.0%,35.0%,18.0%,55.0%,18.0%,20.0%,45.0%,2.0%,19.76,12.86,-39.02,-5.37,-71.87,39.83,-71.87,-61.33,19.76,-291.59
40417,multiple_choice,In which decade will the 2025 UK Christmas number one have been originally released?,2020s,28.0%,25.0%,5.0%,5.0%,35.0%,6.0%,20.0%,45.0%,5.0%,12.0%,25.25,13.92,-147.03,-147.03,47.56,-128.80,-8.40,72.69,-147.03,-59.48
40441,multiple_choice,Which game will win the 2025 Game of the Year Award?,Clair Obscur: Expedition 33,80.0%,62.0%,75.0%,82.0%,81.0%,62.0%,65.0%,55.0%,72.0%,23.1%,39.88,14.39,33.43,42.35,41.12,14.39,19.12,2.41,29.34,-84.44
40626,binary,"Will Iran announce a new capital location before January 3, 2026?",0,12.0%,3.0%,1.0%,2.0%,5.0%,1.0%,1.0%,1.0%,10.0%,82.0%,3.47,13.21,15.25,14.23,11.12,15.25,15.25,15.25,5.72,-155.23
40627,numeric,"What will be Donald Trump's approval rating be on December 14, 2025?",42.8,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-32.02,-84.23,-170.36,-21.99,-73.07,2.64,-5.71,7.40,-84.23,-9.42
40641,binary,Will a sixth contentious case be opened at the International Court of Justice in 2025?,0,18.0%,15.0%,1.0%,18.0%,6.0%,5.0%,1.0%,1.0%,5.0%,20.0%,2.47,6.06,21.31,2.47,16.13,17.19,21.31,21.31,17.19,0.00
40790,multiple_choice,Who will win the 2025 Chilean presidential election?,José Antonio Kast,82.0%,85.0%,1.0%,78.0%,70.0%,76.0%,70.0%,67.0%,62.0%,1.0%,6.29,9.88,-434.38,1.29,-9.53,-1.31,-9.53,-13.91,-21.67,-434.38
40833,multiple_choice,[Short fuse] Who will win the 2025 NBA Cup?,New York Knicks,25.0%,13.0%,20.0%,16.0%,25.0%,18.0%,16.0%,15.0%,28.0%,18.0%,67.94,2.55,45.63,23.31,67.94,35.09,23.31,16.86,79.27,35.09
40836,numeric,How many views will the top Netflix release receive in 2025 Christmas week?,34500000.0,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,CDF,-15.69,16.18,-169.82,-61.51,-169.82,-4.53,-35.96,-169.82,-169.82,-169.82
AVERAGE,,,,,,,,,,,,,,0.19,-1.41,-64.24,-16.76,-6.71,-26.87,-37.10,-18.05,-32.56,-55.69
