Question ID,Title,Resolution,default (BT7) Forecast,default (BT8) Forecast,gemini-2 (BT10) Forecast,gemini-3-flash-preview (BT10) Forecast,glm-4 (BT9) Forecast,grok-4 (BT9) Forecast,grok-code-fast-1 (BT9) Forecast,mimo-v2-flash (BT9) Forecast,minimax-m2 (BT9) Forecast,default (BT7) Peer Score,default (BT8) Peer Score,gemini-2 (BT10) Peer Score,gemini-3-flash-preview (BT10) Peer Score,glm-4 (BT9) Peer Score,grok-4 (BT9) Peer Score,grok-code-fast-1 (BT9) Peer Score,mimo-v2-flash (BT9) Peer Score,minimax-m2 (BT9) Peer Score
38969,How many Major Atlantic Hurricanes will occur during September 2025?,2,35.0%,30.0%,30.0%,28.0%,40.0%,30.0%,35.0%,32.0%,35.0%,16.58,1.16,1.16,-5.73,29.93,1.16,16.58,7.62,16.58
38971,"Will TikTok still be available in the United States on December 31, 2025?","Yes, still owned by foreign adversary",27.0%,22.0%,55.0%,22.0%,15.0%,10.0%,10.0%,5.0%,5.0%,-33.45,-53.93,37.70,-53.93,-92.23,-132.77,-132.77,-202.09,-202.09
39098,How many people will be added to the Viasna Belarusian political prisoners tracker in September 2025?,0-12,43.0%,50.0%,25.0%,35.0%,N/A,98.0%,55.0%,28.0%,30.0%,3.15,18.23,-51.09,-17.44,N/A,85.54,27.76,-39.75,-32.85
39105,"Which grouping will the Prime Minister of France belong to on December 31, 2025?",Together for the Republic,18.0%,10.0%,90.0%,18.0%,25.0%,12.0%,3.0%,2.0%,25.0%,32.60,-26.18,193.55,32.60,65.45,-7.94,-146.57,-187.12,65.45
39106,Who will win Big Brother 27 (US)?,Ashley Hollis,6.0%,5.0%,3.0%,5.0%,7.0%,8.0%,5.0%,30.6%,8.0%,-36.24,-54.47,-105.55,-54.47,-20.82,-7.47,-54.47,126.73,-7.47
39175,What will be the result of the game between IM Levy Rozman Vs The World?,Rozman victory,22.0%,25.0%,75.0%,58.0%,57.0%,55.0%,70.0%,70.0%,50.0%,7.76,20.54,130.40,104.70,102.96,99.39,123.50,123.50,89.85
39538,Who will win the UK Labour Party's Deputy Leadership election in 2025?,Lucy Powell,59.0%,68.0%,67.0%,64.0%,64.0%,62.0%,55.0%,45.0%,6.7%,32.91,47.10,45.62,41.04,41.04,37.87,25.89,5.82,-185.14
39562,How will the Supreme Court rule on Trump's tariffs in 2025?,No 2025 ruling,35.0%,23.0%,96.0%,45.0%,1.0%,96.0%,93.0%,40.0%,55.0%,186.42,144.44,287.32,211.56,-169.11,287.32,284.15,199.78,231.62
39751,Which team will win the 2025 League of Legends World Championship?,T1,28.0%,32.0%,1.0%,17.0%,21.0%,18.0%,5.2%,20.0%,22.0%,20.92,34.28,-312.68,-28.97,-7.84,-23.26,-147.39,-12.72,-3.19
39834,Which of the 2025 Virginia and New Jersey gubernatorial elections will the Democrats win?,Both elections,82.0%,70.0%,70.0%,72.0%,58.0%,60.0%,60.0%,72.0%,97.1%,30.40,14.58,14.58,17.39,-4.23,-0.84,-0.84,17.39,47.26
40085,Which country will host the 31st Conference of the Parties (COP 31) in 2026?,Turkey,12.0%,25.0%,19.0%,12.0%,14.0%,25.0%,20.0%,25.0%,10.0%,-35.55,37.85,10.41,-35.55,-20.13,37.85,15.54,37.85,-53.78
40416,Will President Donald J. Trump take legal action against the BBC before 2026?,Trump files a lawsuit in the USA only,45.0%,42.0%,25.0%,35.0%,55.0%,18.0%,20.0%,45.0%,2.0%,19.76,12.86,-39.02,-5.37,39.83,-71.87,-61.33,19.76,-291.59
40417,In which decade will the 2025 UK Christmas number one have been originally released?,2020s,28.0%,25.0%,5.0%,5.0%,6.0%,20.0%,45.0%,5.0%,12.0%,25.25,13.92,-147.03,-147.03,-128.80,-8.40,72.69,-147.03,-59.48
40441,Which game will win the 2025 Game of the Year Award?,Clair Obscur: Expedition 33,80.0%,62.0%,75.0%,82.0%,62.0%,65.0%,55.0%,72.0%,23.1%,39.88,14.39,33.43,42.35,14.39,19.12,2.41,29.34,-84.44
40790,Who will win the 2025 Chilean presidential election?,José Antonio Kast,82.0%,85.0%,1.0%,78.0%,76.0%,70.0%,67.0%,62.0%,1.0%,6.29,9.88,-434.38,1.29,-1.31,-9.53,-13.91,-21.67,-434.38
40833,[Short fuse] Who will win the 2025 NBA Cup?,New York Knicks,25.0%,13.0%,20.0%,16.0%,18.0%,16.0%,15.0%,28.0%,18.0%,67.94,2.55,45.63,23.31,35.09,23.31,16.86,79.27,35.09
AVERAGE,,,,,,,,,,,,24.04,14.83,-18.12,7.86,-7.72,20.59,1.76,2.29,-54.28
